TeamID,Seed,Season,WinR,LoseR,TotalG
1102, 11,2004,0.0,1.0,1.0
1102, 13,2006,0.0,1.0,1.0
1103, 12,2013,0.0,1.0,1.0
1103, 13,2009,0.0,1.0,1.0
1103, 15,3997,0.0,2.0,2.0
1104, 02,3989,3.0,2.0,5.0
1104, 04,1991,2.0,1.0,3.0
1104, 05,7978,4.0,4.0,8.0
1104, 06,1989,0.0,1.0,1.0
1104, 07,3975,4.0,2.0,6.0
1104, 08,2004,3.0,1.0,4.0
1104, 09,6024,2.0,3.0,5.0
1104, 10,4009,1.0,2.0,3.0
1105, 16 ,2005,0.0,1.0,1.0
1106, 16,4005,0.0,2.0,2.0
1106, 16 ,4020,0.0,2.0,2.0
1107, 13,2007,0.0,1.0,1.0
1107, 14,2015,0.0,1.0,1.0
1107, 15,2013,0.0,1.0,1.0
1107, 16,2006,0.0,1.0,1.0
1107, 16 ,2014,1.0,1.0,2.0
1108, 15,1999,0.0,1.0,1.0
1108, 16 ,2002,0.0,1.0,1.0
1110, 14,2009,0.0,1.0,1.0
1110, 15,4022,0.0,2.0,2.0
1111, 14,2000,0.0,1.0,1.0
1112, 01,11992,16.0,6.0,22.0
1112, 02,14001,17.0,7.0,24.0
1112, 03,7995,7.0,4.0,11.0
1112, 04,6014,6.0,2.0,8.0
1112, 05,4006,3.0,2.0,5.0
1112, 06,4029,2.0,2.0,4.0
1112, 08,4013,1.0,2.0,3.0
1112, 09,3990,0.0,2.0,2.0
1112, 10,5980,0.0,3.0,3.0
1112, 12,2009,2.0,1.0,3.0
1113, 05,1995,2.0,1.0,3.0
1113, 06,2009,1.0,1.0,2.0
1113, 08,1991,1.0,1.0,2.0
1113, 10,4017,1.0,2.0,3.0
1113, 11 ,2018,0.0,1.0,1.0
1114, 12,2016,1.0,1.0,2.0
1114, 13,1989,0.0,1.0,1.0
1114, 14,1986,1.0,1.0,2.0
1114, 16,1990,0.0,1.0,1.0
1114, 16 ,2011,0.0,1.0,1.0
1115, 16 ,2010,1.0,1.0,2.0
1116, 01,3985,9.0,1.0,10.0
1116, 02,1995,5.0,1.0,6.0
1116, 03,1992,1.0,1.0,2.0
1116, 04,5982,7.0,3.0,10.0
1116, 05,4004,2.0,2.0,4.0
1116, 06,1998,1.0,1.0,2.0
1116, 07,4019,0.0,2.0,2.0
